GroupID,EdgeOrder,FromTable,FromColumn,ToTable,ToColumn,ConstraintName,FromCardinality,ToCardinality,RelationshipType,IsPhysicalFK,IsOptional,LineLabel,PreferredLineDirection,CrossGroupRelation,Notes
G22,3,MaQR,ChiaHoaDonID,ChiaHoaDon,ChiaHoaDonID,FK_QR_Chia,1..N,1,ONE_TO_MANY,TRUE,NO,Chia hóa đơn (cũ) 1–N Mã QR chia tiền (cũ),AUTO,NO,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G22,4,NhomChiaTien,CreatedByAccountID,Accounts,AccountID,FK_NhomChiaTien_Creator,1..N,1,ONE_TO_MANY,TRUE,NO,Tài khoản 1–N Nhóm chia hóa đơn,RIGHT_TO_LEFT,YES,
G22,5,NhomChiaTien,DatSanID,LichDatSan,DatSanID,FK_NhomChiaTien_DatSan,1..N,1,ONE_TO_MANY,TRUE,NO,Lịch đặt sân 1–N Nhóm chia hóa đơn,RIGHT_TO_LEFT,YES,
G22,6,NhomChiaTien,HoaDonID,HoaDon,HoaDonID,FK_NhomChiaTien_HoaDon,1,1,ONE_TO_ONE,TRUE,NO,Hóa đơn 1–1 Nhóm chia hóa đơn,RIGHT_TO_LEFT,YES,
G22,7,NhomChiaTienChiTiet,AccountID,Accounts,AccountID,FK_NhomChiaTienChiTiet_Account,0..N,0..1,ONE_TO_MANY,TRUE,YES,Tài khoản 1–N Phần chia của từng người,RIGHT_TO_LEFT,YES,
G22,8,NhomChiaTienChiTiet,NhomChiaTienID,NhomChiaTien,NhomChiaTienID,FK_NhomChiaTienChiTiet_Nhom,1..N,1,ONE_TO_MANY,TRUE,NO,Nhóm chia hóa đơn 1–N Phần chia của từng người,AUTO,NO,
G22,9,NhomChiaTienChiTiet,PayerAccountID,Accounts,AccountID,FK_NhomChiaTienChiTiet_Payer,0..N,0..1,ONE_TO_MANY,TRUE,YES,Tài khoản 1–N Phần chia của từng người,RIGHT_TO_LEFT,YES,
G22,10,NhomChiaTienChiTiet,ConfirmedByStaffID,Accounts,AccountID,FK_NhomChiaTienChiTiet_Staff,0..N,0..1,ONE_TO_MANY,TRUE,YES,Tài khoản 1–N Phần chia của từng người,RIGHT_TO_LEFT,YES,
G23,1,BangLuong,AccountID,Accounts,AccountID,FK_BangLuong_AccountID,1..N,1,ONE_TO_MANY,TRUE,NO,Tài khoản 1–N Bảng lương,RIGHT_TO_LEFT,YES,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G23,2,BangLuong,KyLuongID,KyLuong,KyLuongID,FK_BangLuong_KyLuongID,1..N,1,ONE_TO_MANY,TRUE,NO,Kỳ lương 1–N Bảng lương,AUTO,NO,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G23,3,CauHinhLuong,AccountID,Accounts,AccountID,FK_CauHinhLuong_AccountID,1..N,1,ONE_TO_MANY,TRUE,NO,Tài khoản 1–N Cấu hình lương,RIGHT_TO_LEFT,YES,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G23,4,CauHinhLuong,CoSoID,CoSo,CoSoID,FK_CauHinhLuong_CoSoID,1..N,1,ONE_TO_MANY,TRUE,NO,Cơ sở thể thao 1–N Cấu hình lương,RIGHT_TO_LEFT,YES,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G23,5,KyLuong,CoSoID,CoSo,CoSoID,FK_KyLuong_CoSoID,1..N,1,ONE_TO_MANY,TRUE,NO,Cơ sở thể thao 1–N Kỳ lương,RIGHT_TO_LEFT,YES,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G23,6,KyLuong,CreatedBy,Accounts,AccountID,FK_KyLuong_CreatedBy,1..N,1,ONE_TO_MANY,TRUE,NO,Tài khoản 1–N Kỳ lương,RIGHT_TO_LEFT,YES,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G23,7,YeuCauUngLuong,AccountID,Accounts,AccountID,FK_YeuCauUngLuong_AccountID,1..N,1,ONE_TO_MANY,TRUE,NO,Tài khoản 1–N Yêu cầu ứng lương,RIGHT_TO_LEFT,YES,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G23,8,YeuCauUngLuong,CoSoID,CoSo,CoSoID,FK_YeuCauUngLuong_CoSoID,1..N,1,ONE_TO_MANY,TRUE,NO,Cơ sở thể thao 1–N Yêu cầu ứng lương,RIGHT_TO_LEFT,YES,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G23,9,YeuCauUngLuong,XuLyBy,Accounts,AccountID,FK_YeuCauUngLuong_XuLyBy,0..N,0..1,ONE_TO_MANY,TRUE,YES,Tài khoản 1–N Yêu cầu ứng lương,RIGHT_TO_LEFT,YES,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G24,1,CoSoFaceConfig,CoSoID,CoSo,CoSoID,FK_FaceConfig_CoSo,0..1,0..1,ONE_TO_ONE,TRUE,YES,Cơ sở thể thao 1–1 Cấu hình khuôn mặt cơ sở,RIGHT_TO_LEFT,YES,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G24,2,FaceChallengeToken,AccountID,Accounts,AccountID,FK_FaceToken_Accounts,1..N,1,ONE_TO_MANY,TRUE,NO,Tài khoản 1–N Token thử thách khuôn mặt,RIGHT_TO_LEFT,YES,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G25,1,SuCo,BaoVeID,Accounts,AccountID,fk_suco_baove,1..N,1,ONE_TO_MANY,TRUE,NO,Tài khoản 1–N Sự cố,RIGHT_TO_LEFT,YES,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
G25,2,SuCo,CoSoID,CoSo,CoSoID,fk_suco_coso,1..N,1,ONE_TO_MANY,TRUE,NO,Cơ sở thể thao 1–N Sự cố,RIGHT_TO_LEFT,YES,"FK chỉ có trong migration SQL, chưa xác minh trên DB thật"
