ConstraintName,ChildSchema,ChildTable,ChildColumn,ParentSchema,ParentTable,ParentColumn,ChildCardinality,ParentCardinality,RelationshipType,IsChildOptional,IsOneToOne,IsPhysicalFK,OnDelete,OnUpdate,SuggestedVietnameseLabel,SuggestedGroupID,CrossGroupRelation,SourceOfTruth,Notes
FK_SanQR_San,dbo,SanQR,SanID,dbo,San,SanID,1,1,ONE_TO_ONE,NO,YES,TRUE,NO ACTION,NO ACTION,thuộc sân,G19,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SanQR_UpdatedBy,dbo,SanQR,UpdatedBy,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,được cập nhật bởi,G19,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SanQRTokenHistory_RevokedBy,dbo,SanQRTokenHistory,RevokedBy,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,bị thu hồi bởi,G19,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SanQRTokenHistory_San,dbo,SanQRTokenHistory,SanID,dbo,San,SanID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc sân,G19,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SanQRTokenHistory_SanQR,dbo,SanQRTokenHistory,SanQRID,dbo,SanQR,SanQRID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Mã QR sân,G19,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_ServiceMaterial_CoSo,dbo,ServiceMaterial,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G10,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_ServiceOrder_Booking,dbo,ServiceOrder,BookingID,dbo,LichDatSan,DatSanID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Lịch đặt sân,G11,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_ServiceOrder_CoSo,dbo,ServiceOrder,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G11,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_ServiceOrder_Customer,dbo,ServiceOrder,CustomerID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G11,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_ServiceOrder_Service,dbo,ServiceOrder,ServiceID,dbo,SportService,ServiceID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc dịch vụ,G11,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SOSH_ChangedBy,dbo,ServiceOrderStatusHistory,ChangedBy,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,được đổi bởi,G11,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SOSH_Order,dbo,ServiceOrderStatusHistory,OrderID,dbo,ServiceOrder,OrderID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc đơn dịch vụ,G11,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SoftHold_Account,dbo,SoftHold,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G06,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SoftHold_San,dbo,SoftHold,SanID,dbo,San,SanID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc sân,G06,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SportService_CoSo,dbo,SportService,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G11,YES,LIVE_DB_SNAPSHOT_2026-08-02,
fk_suco_baove,dbo,SuCo,BaoVeID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,do bảo vệ báo cáo,G25,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
fk_suco_coso,dbo,SuCo,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G25,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_TeamInvitations_Invited,dbo,TeamInvitations,InvitedAccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G14,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_TeamInvitations_InvitedBy,dbo,TeamInvitations,InvitedByAccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G14,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_TeamInvitations_Team,dbo,TeamInvitations,TeamID,dbo,Teams,TeamID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Đội nhóm,G14,NO,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_TeamJoinRequests_Requester,dbo,TeamJoinRequests,RequesterAccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G14,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_TeamJoinRequests_Reviewer,dbo,TeamJoinRequests,ReviewedByAccountID,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G14,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_TeamJoinRequests_Team,dbo,TeamJoinRequests,TeamID,dbo,Teams,TeamID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Đội nhóm,G14,NO,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_TeamMembers_Account,dbo,TeamMembers,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G14,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_TeamMembers_Team,dbo,TeamMembers,TeamID,dbo,Teams,TeamID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Đội nhóm,G14,NO,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_Teams_Captain,dbo,Teams,CaptainAccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G14,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_Teams_Sport,dbo,Teams,SportID,dbo,MonTheThao,MonTheThaoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Môn thể thao,G14,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_TheGiuXe_CoSo,dbo,TheGiuXe,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G21,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_TB_Account,dbo,ThongBao,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G15,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK__YeuCauNgh__Accou__3E1D39E1,dbo,YeuCauNghi,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G18,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK__YeuCauNgh__CoSoI__3F115E1A,dbo,YeuCauNghi,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G18,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK__YeuCauNgh__XuLyB__40058253,dbo,YeuCauNghi,XuLyBy,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,được xử lý bởi,G18,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK__YeuCauNgh__Nguoi__44CA3770,dbo,YeuCauNghi_Audit,NguoiThucHien,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,do người thực hiện,G18,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK__YeuCauNgh__YeuCa__43D61337,dbo,YeuCauNghi_Audit,YeuCauNghiID,dbo,YeuCauNghi,YeuCauNghiID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Yêu cầu nghỉ phép,G18,NO,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SOS_Account,dbo,YeuCauSOS,AccountID_Tao,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,liên kết tới Tài khoản,G16,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SOS_DatSan,dbo,YeuCauSOS,DatSanID,dbo,LichDatSan,DatSanID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc lượt đặt sân,G16,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_SOS_Mon,dbo,YeuCauSOS,MonTheThaoID,dbo,MonTheThao,MonTheThaoID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,thuộc môn thể thao,G16,YES,LIVE_DB_SNAPSHOT_2026-08-02,
FK_YeuCauUngLuong_AccountID,dbo,YeuCauUngLuong,AccountID,dbo,Accounts,AccountID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc tài khoản,G23,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_YeuCauUngLuong_CoSoID,dbo,YeuCauUngLuong,CoSoID,dbo,CoSo,CoSoID,1..N,1,ONE_TO_MANY,NO,NO,TRUE,NO ACTION,NO ACTION,thuộc cơ sở,G23,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
FK_YeuCauUngLuong_XuLyBy,dbo,YeuCauUngLuong,XuLyBy,dbo,Accounts,AccountID,0..N,0..1,ONE_TO_MANY,YES,NO,TRUE,NO ACTION,NO ACTION,được xử lý bởi,G23,YES,MIGRATION_SQL,Chưa xác minh trên DB thật (chỉ có trong migration SQL)
