GroupID,GroupOrder,GroupTitle,GroupSubtitle,GroupBusinessDescription,TableName,TableDisplayName,TableOrder,IsCentralTable,PreferredPosition,ShowFullColumns,AllowRepeatAsReference,OriginalGroupID,Notes
G21,21,Giữ xe,Thẻ xe và lượt ra vào,"Bao gồm các bảng: TheGiuXe, LichXeRaVao và LichDatSan. Nhóm này quản lý thẻ giữ xe phát hành tại cơ sở và nhật ký từng lượt xe vào, ra bãi gắn với lượt đặt sân tương ứng.",LichDatSan,Lịch đặt sân,74,NO,RIGHT,NO,YES,G06,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G06 (Đặt sân & Giữ chỗ)
G22,22,Chia hóa đơn,Chia tiền theo nhóm,"Bao gồm các bảng: NhomChiaTien, NhomChiaTienChiTiet, ChiaHoaDon và MaQR. Nhóm này cho phép chia một hóa đơn cho nhiều người theo nhiều hình thức, kèm cơ chế chia hóa đơn đời cũ đã ngừng dùng.",NhomChiaTien,Nhóm chia hóa đơn,75,YES,CENTER,YES,NO,,
G22,22,Chia hóa đơn,Chia tiền theo nhóm,"Bao gồm các bảng: NhomChiaTien, NhomChiaTienChiTiet, ChiaHoaDon và MaQR. Nhóm này cho phép chia một hóa đơn cho nhiều người theo nhiều hình thức, kèm cơ chế chia hóa đơn đời cũ đã ngừng dùng.",ChiaHoaDon,Chia hóa đơn (cũ),76,NO,LEFT,YES,NO,,
G22,22,Chia hóa đơn,Chia tiền theo nhóm,"Bao gồm các bảng: NhomChiaTien, NhomChiaTienChiTiet, ChiaHoaDon và MaQR. Nhóm này cho phép chia một hóa đơn cho nhiều người theo nhiều hình thức, kèm cơ chế chia hóa đơn đời cũ đã ngừng dùng.",MaQR,Mã QR chia tiền (cũ),77,NO,RIGHT,YES,NO,,
G22,22,Chia hóa đơn,Chia tiền theo nhóm,"Bao gồm các bảng: NhomChiaTien, NhomChiaTienChiTiet, ChiaHoaDon và MaQR. Nhóm này cho phép chia một hóa đơn cho nhiều người theo nhiều hình thức, kèm cơ chế chia hóa đơn đời cũ đã ngừng dùng.",NhomChiaTienChiTiet,Phần chia của từng người,78,NO,TOP,YES,NO,,
G23,23,"Lương, Phụ cấp & Ứng lương",Module lương nhân viên,"Bao gồm các bảng: CauHinhLuong, KyLuong, BangLuong và YeuCauUngLuong. Nhóm này cấu hình lương cơ bản và phụ cấp mỗi ca cho nhân viên, tính bảng lương theo từng kỳ và xử lý đơn ứng lương.",KyLuong,Kỳ lương,79,YES,CENTER,YES,NO,,
G23,23,"Lương, Phụ cấp & Ứng lương",Module lương nhân viên,"Bao gồm các bảng: CauHinhLuong, KyLuong, BangLuong và YeuCauUngLuong. Nhóm này cấu hình lương cơ bản và phụ cấp mỗi ca cho nhân viên, tính bảng lương theo từng kỳ và xử lý đơn ứng lương.",BangLuong,Bảng lương,80,NO,LEFT,YES,NO,,
G23,23,"Lương, Phụ cấp & Ứng lương",Module lương nhân viên,"Bao gồm các bảng: CauHinhLuong, KyLuong, BangLuong và YeuCauUngLuong. Nhóm này cấu hình lương cơ bản và phụ cấp mỗi ca cho nhân viên, tính bảng lương theo từng kỳ và xử lý đơn ứng lương.",CauHinhLuong,Cấu hình lương,81,NO,RIGHT,YES,NO,,
G23,23,"Lương, Phụ cấp & Ứng lương",Module lương nhân viên,"Bao gồm các bảng: CauHinhLuong, KyLuong, BangLuong và YeuCauUngLuong. Nhóm này cấu hình lương cơ bản và phụ cấp mỗi ca cho nhân viên, tính bảng lương theo từng kỳ và xử lý đơn ứng lương.",YeuCauUngLuong,Yêu cầu ứng lương,82,NO,TOP,YES,NO,,
G24,24,Điểm danh khuôn mặt,Face attendance,"Bao gồm các bảng: CoSoFaceConfig, FaceChallengeToken, CaLamViec và Accounts. Nhóm này bật bắt buộc điểm danh bằng khuôn mặt theo cơ sở, sinh token thử thách liveness và ghi kết quả vào ca làm việc.",CoSoFaceConfig,Cấu hình khuôn mặt cơ sở,83,YES,CENTER,YES,NO,,
G24,24,Điểm danh khuôn mặt,Face attendance,"Bao gồm các bảng: CoSoFaceConfig, FaceChallengeToken, CaLamViec và Accounts. Nhóm này bật bắt buộc điểm danh bằng khuôn mặt theo cơ sở, sinh token thử thách liveness và ghi kết quả vào ca làm việc.",FaceChallengeToken,Token thử thách khuôn mặt,84,NO,LEFT,YES,NO,,
G24,24,Điểm danh khuôn mặt,Face attendance,"Bao gồm các bảng: CoSoFaceConfig, FaceChallengeToken, CaLamViec và Accounts. Nhóm này bật bắt buộc điểm danh bằng khuôn mặt theo cơ sở, sinh token thử thách liveness và ghi kết quả vào ca làm việc.",CaLamViec,Ca làm việc,85,NO,RIGHT,NO,YES,G17,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G17 (Ca làm việc)
G24,24,Điểm danh khuôn mặt,Face attendance,"Bao gồm các bảng: CoSoFaceConfig, FaceChallengeToken, CaLamViec và Accounts. Nhóm này bật bắt buộc điểm danh bằng khuôn mặt theo cơ sở, sinh token thử thách liveness và ghi kết quả vào ca làm việc.",Accounts,Tài khoản,86,NO,TOP,NO,YES,G01,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G01 (Tài khoản & Phân quyền)
G25,25,Bảo vệ & Sự cố,Guard module,"Bao gồm các bảng: SuCo, CoSo, San và Accounts. Nhóm này cho bảo vệ báo cáo sự cố tại cơ sở hoặc sân cụ thể, phân loại mức độ và theo dõi quy trình xử lý của quản lý.",SuCo,Sự cố,87,YES,CENTER,YES,NO,,
G25,25,Bảo vệ & Sự cố,Guard module,"Bao gồm các bảng: SuCo, CoSo, San và Accounts. Nhóm này cho bảo vệ báo cáo sự cố tại cơ sở hoặc sân cụ thể, phân loại mức độ và theo dõi quy trình xử lý của quản lý.",CoSo,Cơ sở thể thao,88,NO,LEFT,NO,YES,G04,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G04 (Cơ sở thể thao)
G25,25,Bảo vệ & Sự cố,Guard module,"Bao gồm các bảng: SuCo, CoSo, San và Accounts. Nhóm này cho bảo vệ báo cáo sự cố tại cơ sở hoặc sân cụ thể, phân loại mức độ và theo dõi quy trình xử lý của quản lý.",San,Sân,89,NO,RIGHT,NO,YES,G05,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G05 (Sân & Loại sân)
G25,25,Bảo vệ & Sự cố,Guard module,"Bao gồm các bảng: SuCo, CoSo, San và Accounts. Nhóm này cho bảo vệ báo cáo sự cố tại cơ sở hoặc sân cụ thể, phân loại mức độ và theo dõi quy trình xử lý của quản lý.",Accounts,Tài khoản,90,NO,TOP,NO,YES,G01,Bảng tham chiếu rút gọn — bảng gốc thuộc nhóm G01 (Tài khoản & Phân quyền)
G99,99,Bảng hệ thống,Không thuộc nghiệp vụ,"Bao gồm bảng: sysdiagrams. Đây là bảng do SQL Server Management Studio sinh ra để lưu sơ đồ, không thuộc nghiệp vụ V-SPORT và không cần vẽ trong ERD.",sysdiagrams,Sơ đồ hệ thống (SSMS),91,YES,CENTER,YES,NO,,
